类别	稀有度	名称	主属性	附加属性	技能
单手剑	5	钢铁余音	敏捷	物理	巧计
单手剑	5	坚城铸造者	智识	终结	昂扬
单手剑	5	逐鳞3.0	力量	寒冷	压制
单手剑	5	十二问	敏捷	攻击	附术
单手剑	5	O.B.J.轻芒	敏捷	攻击	流转
单手剑	5	仰止	敏捷	物理	夜幂
单手剑	6	宏愿	敏捷	攻击	附术
单手剑	6	不知归	意志	攻击	流转
单手剑	6	熔铸火焰	智识	攻击	夜幂
单手剑	6	黯色火炬	智识	灼热	附术
单手剑	6	扶摇	主能力	暴击率	夜幂
单手剑	6	热熔切割器	意志	攻击	流转
单手剑	6	显赫声名	主能力	物理	残暴
单手剑	6	白夜新星	主能力	源石	附术
双手剑	5	探骊	力量	终结技	迸发
双手剑	5	古渠	力量	源石	残暴
双手剑	5	终点之声	力量	生命	医疗
双手剑	5	O.B.J.重荷	力量	生命	效益
双手剑	6	大雷斑	力量	生命	医疗
双手剑	6	赫拉芬格	力量	攻击	迸发
双手剑	6	典范	主能力	攻击	压制
双手剑	6	昔日精品	意志	生命	效益
双手剑	6	破碎君王	力量	暴击率	粉碎
长柄武器	5	嵌合正义	力量	终结技	残暴
长柄武器	5	O.B.J.尖峰	意志	物理	附术
长柄武器	5	向心之引	意志	电磁	压制
长柄武器	6	负山	敏捷	物理	效益
长柄武器	6	骁勇	敏捷	物理	巧技
长柄武器	6	J.E.T.	主能力	攻击	压制
手铳	5	作品 : 众生	敏捷	法术	附术
手铳	5	O.B.J.迅极	敏捷	终结技	迸发
手铳	5	理性告别	力量	灼热	追袭
手铳	6	艺术暴君	智识	暴击率	切骨
手铳	6	领航者	智识	寒冷	附术
手铳	6	楔子	主能力	暴击率	附术
手铳	6	同类相食	主能力	法术	附术
施术单元	5	悼亡诗	智识	攻击	夜幕
施术单元	5	莫奈何	意志	终结技	昂扬
施术单元	5	迷失荒野	智识	电磁	附术
施术单元	5	布道自由	意志	治疗	医疗
施术单元	5	O.B.J.术识	智识	源石	追袭
施术单元	6	使命必达	意志	终结技	追袭
施术单元	6	沧溟星梦	智识	治疗	附术
施术单元	6	作品 : 蚀迹	意志	自然	压制
施术单元	6	爆破单元	主能力	源石	迸发
施术单元	6	遗忘	智识	法术	夜幕
施术单元	6	骑士精神	意志	生命	医疗
